code,text
Personal advice,"First, you need a decompressor (I have iZip). Then you still have the tsv file. Then you can choose to transform it through R"
Unconventional emotion expression,Niiice tool!
Positive Activating,excellent work. Much incredible and simple visualization for a such complex
Expressing agreement,I agree.
Self-disclosure & expressing values,"I tried to use it too, but I ended up with Tableou.I explored the same theme as well"
Asking questions,"However, I don’t understand where the focus on Singapore in this graph comes from?"
Expressing agreement,"Yeah I’m with you with the point of the color and the imagen about different sexs in the graphic, for me too this is should been different."
Self-disclosure & expressing values,"Hello Angel,Being a MD myself (worked 20 years in hospital) I am curious of course."
Expressing agreement,"I agree that the general purpose is both to show life expectancy improving over the past few decades and across economic classes, and the the chart does not achieve that."
Personal advice,I would perhaps recommend to space out the charts vertically as I am getting things a little mixed up
Positive Activating,"I was curious if you tried a quadratic trend for the relationship between parent education and percent of students meeting the requirement, since it looks as though it could be a curvilinear relationship."
Vocatives (addressing individual),"Hi Mike,"
Positive Activating,i am curious about what other variables are included in your dataset.
Expressing agreement,I agree that normalizing by dividing by population could be the next step
Positive Activating,I’m surprised by how much the U.S. spends on arms imports.
Vocatives (addressing individual),"Hello, Jan. Thank you for your expert view!"
"Complementing, expressing appreciation","You are well on your wayto create amazing data viz! I am sure, excellent! and inspiring"
"Complementing, expressing appreciation","Hi Daniel,Thanks for responding to my entry and for the feedback!"
Personal advice,The one thing I would change is to add a note to the Chapter 3 heat map telling the reader that a low overall score is the most desirable.
Positive Activating,I’m very curious to see how it would look like a graph that showed us the comparison between economic growth and inequalities.
Asking questions,Can an ecological situation impact to cancer disease?
Negative Activating,I think there are too many categories
Positive Activating,I really like your new graph.
Asking questions,"Maybe that is a lot to ask for this course, but maybe something work looking into if you want to work with this data further?"
Negative Deactivating,"the most extreme example being Arthur Russell, who is almost unclassifiable"
Personal advice,I think if you used another color for the Western Hemisphere and Western Europe it would be more appealing.
Vocatives (addressing individual),Hello Julie I see that we use data of the same nature
Vocatives (addressing individual),"That’s what I was wondering as well, Stephan."
Negative Activating,It all seems to go very fast and you have to pause to really absorb.
"Complementing, expressing appreciation",I really enjoyed the descriptive annotation that was before each visual.
Positive Activating,The chart I found most interesting wasChanging Tides
Vocatives (addressing individual),"Hi, Dave! Thank you for your comment."
"Complementing, expressing appreciation","Thank you, Mr. Arias."
Quoting from others' messages & Referring explicitly to others' messages,"That would have helped compare """"apples to apples.""""The final graph is very informative, especially if the data were listed in increasing or decreasing order to show the incremental differences by each country."""
Asking questions,"Was this the lite version of Flourish, or was this the downloaded version?"
Vocatives (addressing individual),Hi Katica
"Complementing, expressing appreciation",i’ve never seen the data visualized like this so thoroughly.
Asking questions,Is this still the case?
"Complementing, expressing appreciation",Amazing. Great work!
Asking questions,Did you try to arrange them in a different way?
Asking questions,Does that make it more difficult to get a view of the country as a whole?
Asking questions,Or it comes from your knowledge ?
Positive Activating,That would be interesting to know because it might shed some light on China importing Canola.
Vocatives (addressing individual),Hello Felix !!
Quoting from others' messages & Referring explicitly to others' messages,here the link with the graphhttps://drive.google.com/open?id=1h-qgq1i209pAj97TpCrry_yJrpO8zCaV
"Complementing, expressing appreciation",This is fascinating and so well displayed.
Personal advice,"I think it’s really good to start with raw numbers, but I would like to see this data as a percent of cats available at that age."
Personal advice,I think you could have improved your graphic
"Complementing, expressing appreciation",I love everything about this.
Vocatives (addressing individual),excellent work.
Positive Activating,"Hi Santiago,Happy to be helpful."
"Phatics, salutations and greetings, Social sharing","Hi Reiner,Great thoughts!"
Self-disclosure & expressing values,I’m colorblind and I do not really appreciate the colors in the bar graphs
Positive Deactivating,The work you’ve done to gather and clean this data is impressive enough on its own.
Asking questions,Are these data perhaps influenced by a growing use of Airbnb by Americans?
Positive Activating,"Santiago,I really like that you chose data visualizations that were part of our lecture"
Negative Activating,The only thing I was wondering about is slide no. 4.
Unconventional emotion expression,"But like the poster noted, colours and all that come next :)"
Asking questions,Why did you highlight the specific nations that you selected?
Self-disclosure & expressing values,"I know in my own assignment, the result was not what I had expected to do when I first started either!"
Vocatives (addressing individual),"Wow, Takura. This was such an interesting visualization and story to see and read."
Positive Deactivating,there’s not much to complain about.
"Complementing, expressing appreciation",Great job Hideki Nakane.
Unconventional emotion expression,Great job though! :)
Vocatives (addressing individual),"Hey Julian,Great effort and full points for choosing such an interesting subject."
Positive Activating,There is so much to explore here
Self-disclosure & expressing values,"And not just because my favourite club, Manchester City, was so well represented in the 2018 World Cup. ;-)"
Personal advice,Another possibility if the data is available would be to look by country.
Vocatives (addressing individual),Thank you Russ for your graphs and analysis.
Asking questions,Wouldn’t this then allow to judge a state’s ability to turn overall business growth into income growth of its citizens?
Personal advice,"adding a human sense to the story would be good, so maybe add side bar stories on significant stories"
Vocatives (addressing individual),THank you miss Oyinak Oni.
"Phatics, salutations and greetings, Social sharing",All the best
Vocatives (addressing individual),Thank you Katica
Vocatives (addressing individual),"Mark, thanks for the suggestion!"
Expressing disagreement,But... but there’s a problem.you have not thought about other risks for the little mouse.
Asking questions,Has its consumption been always the same?
Negative Activating,Trying to get data into the right format will always be a challenge.
"Complementing, expressing appreciation",I also love you have the data by week
"Complementing, expressing appreciation","Charlotte,Thank you for posting all of the different ways that you played with the data to then look for associations."
"Complementing, expressing appreciation",I like the fact that you have explored all kind of templates !
"Complementing, expressing appreciation",Thanks Diana
Vocatives (addressing individual),Thanks Dave
Negative Deactivating,"People don’t listen to full albuns nowadays, and artists tend not to work on them. So sad..."
Asking questions,Could you make a screen dump of the data tab in Flourish?
Vocatives (addressing individual),"hank you, Mr. Arias."
Personal advice,"Those dynamics may be hard to measure, but the mass northward migration would be interesting to track over a similar time frame."
Negative Activating,I can sympathize with the inconsistency in data sources.
"Phatics, salutations and greetings, Social sharing",Wish you all the best.
Vocatives (addressing individual),"Dear Russ,So important topic!"
Asking questions,why you are seeing these patterns?
"Complementing, expressing appreciation",Thank you for your advice!My tools are python(pandas) for data preprocessing and analyze.
Personal advice,"Also, I understand you want to cut down on excess information but I would appreciate a quick color chart in one of the bottom corners that I can glance at while I am reading your graphs."
Expressing disagreement,I don’t think Map chart can add any value for this life expectancy information.
"Complementing, expressing appreciation","Hello, Lyn. Thank you for you comment!"
Negative Activating,Just couldn’t get Flourish to work for just one state’s counties.
Asking questions,Does this only include military personnel in uniform or does it take other combatants into account as well (asymmetrical warfare including insurgents etc?)
"Complementing, expressing appreciation",Thanks Sylvie
Personal advice,though one suggestion to improve chloropleth maps: if you want to compare them keep the same value bins for each color.
Vocatives (addressing individual),"Hi Ruth,What a really nice work, congrats."
"Complementing, expressing appreciation",Well done !
Positive Activating,The line chart was quite happy to show consumption over time and the map by enabling a view that generates comparisons between continents and countries.
"Complementing, expressing appreciation","Hi Felix,This is great work! Thank you for sharing it."
Expressing agreement,"Hello Tim, I agree with you, the ’both sexes’ looks like superfluous."
Personal advice,I believe you could develop such a narrative a bit further
Personal advice,It would be nice to combine for example climate
"Complementing, expressing appreciation",Your visualizations provide an excellent overview and presentation of the subject material.
Positive Deactivating,It was easy to select and use the information
"Complementing, expressing appreciation",Wow this is a lot of hard work. Very insightful .
Expressing agreement,"Yes, I do agree that there ought to be more than one chart to better explain and do comparisons."
Vocatives (addressing individual),Hello Katika!
"Phatics, salutations and greetings, Social sharing","Hi Nuria,I’m commenting on yours because your analysis is really good and great that you have submitted two chart suggestions which are original and made me think differently about how to present the data."
Positive Activating,I wish that I had incorporated that thought.I also liked your idea about the differences in scaling of economies -- there should be uniformity.
Positive Activating,I hope you keep working with it!
Vocatives (addressing individual),"Jorge,Wonderful work!"
Addresses or refers to the group using inclusive pronouns (addressing the whole group),"In response to everyone’s comments about the value of color, I gave it a try."
Negative Activating,"I have a question, though, I haven’t seen any statistics about budget."
"Phatics, salutations and greetings, Social sharing","Hi Arnold,I came to the same conclusion that small multiples was the ideal way to go."
Asking questions,This could be an interesting matter to debate: is always necessary a graph to explain/expose data?
Vocatives (addressing individual),Hi Diego
"Complementing, expressing appreciation",You put together a nice set of visualizations.
Self-disclosure & expressing values,"I am studying Fragility, but I did not know that this feeling was so comprehensive."
Positive Activating,Hoping this will work better.
Positive Activating,"I’m still new at this, but seeing how you presented this makes me want to go back and play with Inzight some more again with a new data set."
Personal advice,I think it would be better to leave each country in the same position on the x axis
Self-disclosure & expressing values,I also use a lot of Tableau for many things.
Positive Activating,Any additional comments/feedback welcomed.
"Complementing, expressing appreciation",Thanks for sharing this.
Personal advice,It would be interesting to view by both sales and acclaim to see if there’s any correlation.
Positive Activating,there are a lot of data behind these maps... wow.
Personal advice,That is the only minor suggestion I have for improving your charts.
"Complementing, expressing appreciation",Nicely done. I liked it you made a guess about the factors which impact happiness.
Positive Activating,"I am new to all things about data visualization, and I appreciate your project."
Asking questions,"Could I ask you what you mean by """"space out the charts vertically""""? Do you mean to add more space between the charts for the different subjects?"
Expressing disagreement,But in the point with the label inside the bars I think that can be more confused because in the graph have a lot of visual encoding and other inside other can be more heavy to understand.
Asking questions,would that be too much?
Expressing agreement,I agree that a stacked bar chart is ideal (this was my solution as well) but you should display the categories according to percentages rather than dollar amount.
"Complementing, expressing appreciation",nice work!
"Complementing, expressing appreciation",Great job!An interesting aspect to analyze is what’s the story with Paraguay (I believe is Paraguay the country painted with a softer blue in South America)...
"Complementing, expressing appreciation","Ciao Maria, thanks for your comment."
Positive Activating,I’m still triggered by Moritz Stefaner with OECD dataset
Negative Activating,"For some reason, it struck me because 2018 started having more than usual"
Positive Activating,"That’s what I was wondering as well, Stephan."
Asking questions,Have you come up with some questions that you want to explore more and try and focus or refine?
Addresses or refers to the group using inclusive pronouns (addressing the whole group),Do we have the data of cancer disease in African countries?
Vocatives (addressing individual),"Thank you for the suggestion, Tamara!"
Personal advice,"Hi Claudia,If you go tohttps://data.worldbank.org/indicator/SE.PRM.CMPT.FE.ZS?view=chart, you’ll find a spot where you can download the dataset in CSV, Excel, or XML."
Negative Activating,I didn’t understand how that fit exactly into the narrative
Positive Deactivating,The data show us the way. Hahaha.
Asking questions,Which would work better to convey the erratic nature of the voting for parliament?
"Complementing, expressing appreciation",It is a great way to compare the values.
Personal advice,"More beautiful, I think, when a simple graph, such as a curve, you can get important conclusions such as life expectancy or the treatment of a disease."
Expressing agreement,"I agree with you, Flourish has some limitations."
"Complementing, expressing appreciation","I am particularly impressed with your """"binning"""" the political parties into your SIDE mnemonic, which greatly simplifies the understanding of the situation."
"Complementing, expressing appreciation","Joseph,I love that you used lat and long values in the data to make quick maps."
Personal advice,That would be a great story to tell.
Asking questions,did you actually follow this link?
Personal advice,One thing I would suggest:
Negative Activating,I had some difficulty understanding the colours on the right-hand side
Quoting from others' messages & Referring explicitly to others' messages,Take a look at this blog post about doing something similar in Excel:https://www.linkedin.com/pulse/excel-map-hack-john-nelson/
Negative Activating,I wonder what the data tells us about the income gap.
Personal advice,Some totals for all of Europe would also be nice as reference
"Complementing, expressing appreciation",The work you’ve done to gather and clean this data is impressive enough on its own.
"Phatics, salutations and greetings, Social sharing","Hello Nancy,Thank you for taking time to read my critique, to look at my sketch, and to provide feedback about them."
Open communication,"Hi, MarioThank you for bringing up here so an important topic."
Negative Activating,I was
Negative Activating,Sorry about the last graph being too small to read.
"Complementing, expressing appreciation","Thanks a lot, that is a really useful"
Positive Activating,Hi!That is a GREAT topic! :)
Expressing agreement,I agree that your numbers show the incidences of disease has remained steady.
Personal advice,"Some litle suggestions:- Maybe, you could complete your dataset with the kind of music"
"Complementing, expressing appreciation",Wow. This is one of the best data viz I’ve seen on this topic.
Personal advice,Maybe you can bring in complementary data to see if there is a correlation between the amount of revenue a department brings in and how much its faculty is compensated?
Expressing agreement,"You are completely right with the imagen about different sexs and the color I think the same is better in the classic form, because is more easy to understand."
Asking questions,"If we had pink bubble for females and blue bubble for male and then green for both sexes, would that be too distracting?"
"Complementing, expressing appreciation","Wow, Takura. This was such an interesting visualization and story to see and read."
Personal advice,"You could take advantage of the Location data to analize the """"Unlucky 27"""" theory. It would be interesting to know if it was a repeated event per location"
Negative Activating,The only hiccup seemed to be slide 4
Positive Activating,Exploring more these points could be interesting!
"Phatics, salutations and greetings, Social sharing","Hello Mark,I agree with the problems you identify with this graphic."
Negative Activating,Sorry attachments were missed in the original post the process was not quite clear.
Positive Activating,I really enjoyed looking and learning about NYC 311 calls
Vocatives (addressing individual),"Hi David, Ill love this kind of graphic"
"Complementing, expressing appreciation",Great work Hideki Nakane
"Complementing, expressing appreciation",This is absolutely brilliant I had such a good laugh
Positive Activating,"Hello Angel,Being a MD myself (worked 20 years in hospital) I am curious of course."
Self-disclosure & expressing values,"Since I am from Spain, I understand the concepts of """"Mil euristas""""."
"Phatics, salutations and greetings, Social sharing",Good luck with your work as a datavis/journalist
Expressing agreement,"Yes, I agree!"
Expressing disagreement,"However, I do not agree with you that the energy use in Asia is particular high."
Asking questions,Do you think adding this second layer to the graphic would distract from its primary purpose?
Expressing agreement,I agree with Brett.
"Complementing, expressing appreciation","Thank you, the race chart was my favorite to build"
Negative Activating,"I wonder if this was moved into an interactive, online version if the tags could pop up when a user hovered over each country?"
Negative Deactivating,"After I had spent a couple of hours with it, I went back to my regular software"
Personal advice,Some suggestions from my side:- your viz deserves a title!
"Complementing, expressing appreciation",Good job!
Self-disclosure & expressing values,"I’m coming more from the communication side, making data look compelling and (hopefully) easy to read is my job. Obviously I influence how people read the data to some extent, but I try not to push people to conclusions."
Personal advice,It would definitely be worth looking into.
Vocatives (addressing individual),"Dear Simon, thank you for taking time to comment and for your appreciations :)"
Vocatives (addressing individual),"Hi Julian,Thank you very much for your in depth analysis."
Self-disclosure & expressing values,"I’m not a big fan of anything that starts to move or make sound without user interaction, but in this particular case (many people didn’t know where to start / what to do) it’s probably necessary."
Quoting from others' messages & Referring explicitly to others' messages,"Hoping this will work better. https://journalismcourses.org/pluginfile.php/283658/mod_forum/post/295866/Cairo%20course%20powerpoints%20Iowa%20population%20change.pdfhttps://journalismcourses.org/pluginfile.php/283658/mod_forum/post/295866/Cairo%20course%20powerpoints%20Iowa%20population%20change.pptxSCB"""
Asking questions,"Perhaps also because of changing networks, they go to the hospital earlier and more often? Thresholds changing?"
Vocatives (addressing individual),"Dear Camilla,You are right, ’life expectancy at birth’ is a complex term."
Personal advice,It would be also very interesting to compare this data with deforestation data!
Personal advice,"I think it would have been better to show with population increase, certainly!"
"Complementing, expressing appreciation",Comparing averages per economic class is also a good suggestion.
Negative Activating,but after I had done several I couldn’t get the scaling to hold when going back and forth to them.
"Complementing, expressing appreciation",Hi Linda!Wow! You have a great eye! I totally missed that.
Unconventional emotion expression,Or maybe you are sniper and consider a low mortality rate bad as it means too many wasted bullets? ;-)
Negative Activating,that may be a flourish problem.
"Phatics, salutations and greetings, Social sharing","Hello Gabriela,Your work was very enlightening!"
Unconventional emotion expression,Feeling a bit ashamed now:)
"Complementing, expressing appreciation",Really nice work! I love the animation on the line charts... such a great technique.
Personal advice,If you are interested in growth in population at the county level and you want to highlight the growth of particular counties
Positive Activating,I was quite surprised to see that Russia had fewer first round picks and that the US had as many as it did.
Personal advice,Perhaps you might want to use color on one map - the one of the winning side
Positive Activating,There is a clear emotional engagement in your visualization.
Negative Activating,I’m left wondering why 11 has no data displayed at all.
"Complementing, expressing appreciation",Hi Katica!Amazing job!
Negative Activating,I found the graph a little bit difficult to understand.
Positive Activating,"this helped you find out about the peculiar situation in Qatar, which is in my opinion really intriguing."
Positive Activating,I was wondering if any sales has been done during 2015 and 2016.
"Complementing, expressing appreciation",This is a lot of very good work.
Quoting from others' messages & Referring explicitly to others' messages,I agree with Brett.
Positive Activating,Hoping this will work better.
Addresses or refers to the group using inclusive pronouns (addressing the whole group),we should advocate for data to be clearly formatted and in an open format such as CSV.
Expressing agreement,I agree with your point about not being clear on what constitutes
Negative Deactivating,"I did make a graph, but for some reason when I tried to attach it to the post it did not work."
Asking questions,Is there a threshold above or below which populations are at risk?
"Complementing, expressing appreciation",nice to see how you played around to get different insights from the data.
Vocatives (addressing individual),Thank you Annabelle.
"Complementing, expressing appreciation",Ithink what you did was amazing - you told a great story.
Vocatives (addressing individual),"Hi Kevin,"
Personal advice,One thing to consider with future predictions is that they is more uncertainty the farther out the prediction such as the year 2050.
Personal advice,My only suggestion is that it is better to write the explanations of the information on the head of the slide after the title
Positive Activating,Hope this helps
Asking questions,"Am I correct that these Flourish elements are static elements, like screen shots or PNGs?"
Personal advice,My only thought is that you could tell us in the first slide
Personal advice,"It would be great if you can analyzethelevel of education,where production is concentrated and so on."
Personal advice,The points could have been labelled by years
Positive Deactivating,your implementation allows you to interact with the data to explore what you are interested in
"Complementing, expressing appreciation","Hi Jorge,Thanks for your feedback."
Asking questions,Do you think I could try and make a bar chart to avoid the overlapping?
"Complementing, expressing appreciation","Jorge,Wonderful work!"
Positive Deactivating,it looks ideal for investigation.
"Complementing, expressing appreciation","Cathelijn,I enjoyed discovering your project!It’s both informative and easy to investigate."
"Complementing, expressing appreciation","Thanks, Nicola."
Unconventional emotion expression,Maybe that would work :)-- Emanuele.
Personal advice,"To fix that, I suggest adding another chart but withoutIndianapoilis’ numbers."
Quoting from others' messages & Referring explicitly to others' messages,"So the easy way would be:http://ec.europa.eu/eurostat/search?p_auth=BHB4niEk&p_p_id=estatsearchportlet_WAR_estatsearchportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_estatsearchportlet_WAR_estatsearchportlet_action=search&text=Harmonised+unemployment+rate+by+sexClick on Acess TGM, there you will have a table."
Unconventional emotion expression,This is cool!This confirms my personal impression that people don’t make music as good as they used to :)
Personal advice,The second option is to google a converter from tsv to csv.
Asking questions,Could you give some clue how to manage these data from Eurostat?Have you done the previous infogtaphi course from A Cairo?
Positive Activating,very helpful for seeing your slide
Negative Activating,"Indeed, it is not clear, it means that there is no data for the greyed out regions."
Expressing disagreement,I would have to disagree that a map would be better because we are not trying to geolocate the counties.
Positive Activating,"I’m glad that our instructor introduced us to the iNZight tool because it has a web-based function, and is pretty intuitive."
Asking questions,what contributes to lack of trust?
Self-disclosure & expressing values,As a former DC resident I found it particularly relevant.
Personal advice,"If possible come and take a look at my work, it can be accessed online dynamically."
Positive Activating,Thanks for sharing the visualizations!
Vocatives (addressing individual),"Hi Elena, thanks for your reply."
Asking questions,Is there reason to be worried?
"Complementing, expressing appreciation",Great work!
Positive Deactivating,You cut the data in easy to understand ways
Quoting from others' messages & Referring explicitly to others' messages,did you actually follow this link?http://felix.bernoully.com/DV18-EX04a.html
Negative Activating,I have often trouble with data in this kind of way.
"Complementing, expressing appreciation",I appreciate that you took
Personal advice,Just one thought comes to mind in terms of opportunities to improve the visualization
Negative Activating,"I have never used Tableau, so I expect it is hard to change legends"
Asking questions,Can’t we expect the high numbers of children born in early 2000’s to have children of their own ~20-30 years after they themselves are born?
"Complementing, expressing appreciation","Hi, Steve --You beat me to it!"
Personal advice,The only thing I would change from my side is to change color from black to white
Asking questions,What else was going on in that region at that time?
Positive Activating,This is cool!This confirms my personal impression that people don’t make music as good as they used to :)
"Complementing, expressing appreciation","Hello, Cathleen. Thank you for your response!"
Asking questions,What application did you use to create these graphs?
Asking questions,do you have any ideas which factors influence the trends in employment?
Negative Activating,"Like many of the commenters here, I am concerned about your color choices."
Negative Activating,The only thing I am concerned is it being too much crowding.
Personal advice,The only hiccup seemed to be slide 4
Vocatives (addressing individual),"Hi Valentina,Great job creating different views of the data you had."
Positive Activating,I was surprised by the difference between India being ranked 1st in ticket sales but 4th in revenue.
Quoting from others' messages & Referring explicitly to others' messages,"For the database, I just posted a representative screenshot (trying to include Jimi Hendrix and Janis Joplin given that they are well-known members of the """"Unlucky 27 Club"""")"
Positive Activating,An interesting aspect to analyze is what’s the story with Paraguay (I believe is Paraguay the country painted with a softer blue in South America)...
Positive Activating,"Those dynamics may be hard to measure, but the mass northward migration would be interesting to track over a similar time frame."
Personal advice,The scatterplot would be a great idea
Vocatives (addressing individual),"Hi Abbi,Thank you for your reply."
Positive Activating,This will help me in deciding where to travel in Europe next year!
Asking questions,Is there a world or regional benchmark to compare?
Positive Deactivating,You summarized the information and made it easier to understand. My eyes did not have to do so much work.
Personal advice,"so I suggest separating them by regions or ranges of results, so that it is pleasing to the eye."
Personal advice,I’d have probably added a budget/movie comparison across countries as well
Vocatives (addressing individual),"Jorge,That’s an interesting question you decided to investigate here."
Expressing agreement,"I agree that these rare ""extreme rain"" events are occurring much more often."
Expressing agreement,Indeed a mapping of the incidents will be helpful
Personal advice,Would be great to add 2 reference lines
Asking questions,Do you think this may have something to do with dominant political ideology and consequently public policies (which inevitably affect income distribution and availability of safety net programs)?
"Complementing, expressing appreciation",It is an efficient way to display plenty of data in comprehensible and clear way.
Negative Activating,"The only criticism I could make (but that I don’t know how to fix either, is that in the first slide, it’s difficult to discern trends."
Vocatives (addressing individual),"Cathelijn,I enjoyed discovering your project!It’s both informative and easy to investigate."
Positive Activating,"Hi Julio,I like your suggestion of changing the orientation of the"
Asking questions,"Does Goose Creek have access to the water, or just a view?"
Quoting from others' messages & Referring explicitly to others' messages,"It’s the model that the brazilian site G1 used in its ""Monitor da Violncia"", a great project:http://g1.globo.com/monitor-da-violencia/"
Positive Activating,I hope you solve the mystery!
Negative Activating,"But now I’m not sure for where I live, I’m cautious enough by your observations."
"Complementing, expressing appreciation",Congratulations on the choice of colors and the contagious sensation when you see your research!
Vocatives (addressing individual),chart and having just one scale for all data points.
Vocatives (addressing individual),"Hi Luis, I have a couple of suggestions:-"
"Complementing, expressing appreciation",Nice graphics. The dynamic chart was a good way to show changes over time.I liked your explanations and the variety of graphs that you used.
Asking questions,What’s the story behind?
Personal advice,It would be interesting to know if the cause of death is also related to the kind of music of the artist
Personal advice,It would be good if the data could all be on the same chart.
Personal advice,Things to think about for your next iteration of the chart.
Expressing agreement,I agree.
Addresses or refers to the group using inclusive pronouns (addressing the whole group),So we could do a qualitative survey.
Vocatives (addressing individual),"Hi Julian,Few thoughts."
"Phatics, salutations and greetings, Social sharing",Good luck with the course!
Vocatives (addressing individual),"Annabelle, your story made me smile :-)"
Self-disclosure & expressing values,County resident here.
"Complementing, expressing appreciation",Thank you Kimberly
"Complementing, expressing appreciation",Great!
Personal advice,"Hi Maseme,You should be proud of yourself."
Positive Activating,Showing the fun and coolness factors are gateways into the data science field that get people who are uncomfortable using data science to realize that anyone -- including them -- can do it.
