,code,text,tokens
23,Vocatives (addressing individual),"hi aleksandra, yes it would be more explanatory to add more variables to the data set, as cigarette and alcohol consumption are also believed to be a cause of cancer disease ","['hi', 'aleksandra', 'yes', 'it', 'would', 'be', 'more', 'explanatory', 'to', 'add', 'more', 'variables', 'to', 'the', 'data', 'set', 'as', 'cigarette', 'and', 'alcohol', 'consumption', 'are', 'also', 'believed', 'to', 'be', 'a', 'cause', 'of', 'cancer', 'disease']"
25,Personal advice,this would allow you to see changes in staffing over time ,"['this', 'would', 'allow', 'you', 'to', 'see', 'changes', 'in', 'staffing', 'over', 'time']"
28,Negative Activating,it took me a few minutes to figure this out ,"['it', 'took', 'me', 'a', 'few', 'minutes', 'to', 'figure', 'this', 'out']"
31,Vocatives (addressing individual),"very cool, thanks, tj!","['very', 'cool', 'thanks', 'tj']"
33,Asking questions,were they using a different data set?,"['were', 'they', 'using', 'a', 'different', 'data', 'set']"
34,Vocatives (addressing individual),"hello gabriela,your work was very enlightening!","['hello', 'gabriela', 'your', 'work', 'was', 'very', 'enlightening']"
35,"Complementing, expressing appreciation","very cool, thanks, tj!","['very', 'cool', 'thanks', 'tj']"
36,"Complementing, expressing appreciation",excellent job,"['excellent', 'job']"
37,Asking questions,does this mean that there is no data for the greyed out regions or they are low on the scale?,"['does', 'this', 'mean', 'that', 'there', 'is', 'no', 'data', 'for', 'the', 'greyed', 'out', 'regions', 'or', 'they', 'are', 'low', 'on', 'the', 'scale']"
39,"Complementing, expressing appreciation",this is really interesting!,"['this', 'is', 'really', 'interesting']"
40,"Complementing, expressing appreciation",great work and interesting comparaison!,"['great', 'work', 'and', 'interesting', 'comparaison']"
41,Asking questions,what is the large red circle in florida? why is it larger?,"['what', 'is', 'the', 'large', 'red', 'circle', 'in', 'florida', 'why', 'is', 'it', 'larger']"
42,Asking questions,does attending school directly make one literate?,"['does', 'attending', 'school', 'directly', 'make', 'one', 'literate']"
43,Negative Activating,"still i d like to be able to """"tinker"""" with the flourish templates a bit more","['still', 'i', 'd', 'like', 'to', 'be', 'able', 'to', 'tinker', 'with', 'the', 'flourish', 'templates', 'a', 'bit', 'more']"
44,Vocatives (addressing individual),"hi jorge,thanks for your feedback ","['hi', 'jorge', 'thanks', 'for', 'your', 'feedback']"
47,Personal advice,i would recommend combining a few or the most related ones  this might have worked better as a bar graph,"['i', 'would', 'recommend', 'combining', 'a', 'few', 'or', 'the', 'most', 'related', 'ones', 'this', 'might', 'have', 'worked', 'better', 'as', 'a', 'bar', 'graph']"
48,Asking questions,was uncertainty (prediction confidence intervals) provided with the original data?,"['was', 'uncertainty', 'prediction', 'confidence', 'intervals', 'provided', 'with', 'the', 'original', 'data']"
49,Negative Activating,"though, you are right  i should be labeling them ","['though', 'you', 'are', 'right', 'i', 'should', 'be', 'labeling', 'them']"
50,Negative Activating,i m wondering if there was any change in the birth rate that could account for that dip ,"['i', 'm', 'wondering', 'if', 'there', 'was', 'any', 'change', 'in', 'the', 'birth', 'rate', 'that', 'could', 'account', 'for', 'that', 'dip']"
52,"Complementing, expressing appreciation","hi valentina,great job creating different views of the data you had ","['hi', 'valentina', 'great', 'job', 'creating', 'different', 'views', 'of', 'the', 'data', 'you', 'had']"
53,"Complementing, expressing appreciation",thanks for the hint,"['thanks', 'for', 'the', 'hint']"
54,Asking questions,have you thought of other data or known drivers to help figure out some likely causes or reasons,"['have', 'you', 'thought', 'of', 'other', 'data', 'or', 'known', 'drivers', 'to', 'help', 'figure', 'out', 'some', 'likely', 'causes', 'or', 'reasons']"
55,Personal advice,one other possible thing to explore would be which album in the artist s discography got ranked,"['one', 'other', 'possible', 'thing', 'to', 'explore', 'would', 'be', 'which', 'album', 'in', 'the', 'artist', 's', 'discography', 'got', 'ranked']"
56,"Complementing, expressing appreciation","hi, takura!i ve specially appreciated the variety of graphs and options that you used ","['hi', 'takura', 'i', 've', 'specially', 'appreciated', 'the', 'variety', 'of', 'graphs', 'and', 'options', 'that', 'you', 'used']"
57,"Complementing, expressing appreciation","ebony, thank you for the feedback!","['ebony', 'thank', 'you', 'for', 'the', 'feedback']"
58,Vocatives (addressing individual),"hi luis,you did a nice try with your version of the graph ","['hi', 'luis', 'you', 'did', 'a', 'nice', 'try', 'with', 'your', 'version', 'of', 'the', 'graph']"
59,Negative Activating,got a bit confused now because i was later working with a lot of similar ones ,"['got', 'a', 'bit', 'confused', 'now', 'because', 'i', 'was', 'later', 'working', 'with', 'a', 'lot', 'of', 'similar', 'ones']"
60,Vocatives (addressing individual),"thanks meenakshi, great suggestion ","['thanks', 'meenakshi', 'great', 'suggestion']"
61,Personal advice,the only critique i have is less of the content of your work than it is of trying to squeeze a visualization into a smaller screen or trying to adapt a viz so it accommodates all formats ,"['the', 'only', 'critique', 'i', 'have', 'is', 'less', 'of', 'the', 'content', 'of', 'your', 'work', 'than', 'it', 'is', 'of', 'trying', 'to', 'squeeze', 'a', 'visualization', 'into', 'a', 'smaller', 'screen', 'or', 'trying', 'to', 'adapt', 'a', 'viz', 'so', 'it', 'accommodates', 'all', 'formats']"
62,"Complementing, expressing appreciation",this is an excellent representation of the data which does tell the story more clearly ,"['this', 'is', 'an', 'excellent', 'representation', 'of', 'the', 'data', 'which', 'does', 'tell', 'the', 'story', 'more', 'clearly']"
65,Negative Activating,"i couldn t really tell it it was giving a cumulative toll, or the toll in specific instances ","['i', 'couldn', 't', 'really', 'tell', 'it', 'it', 'was', 'giving', 'a', 'cumulative', 'toll', 'or', 'the', 'toll', 'in', 'specific', 'instances']"
66,"Complementing, expressing appreciation",kudos!there was a post from db 01 that focused on the popular us tv show called buffy the vampire slayer  your post is similar to that one because it shows that playing with data can be fun and cool ,"['kudos', 'there', 'was', 'a', 'post', 'from', 'db', '01', 'that', 'focused', 'on', 'the', 'popular', 'us', 'tv', 'show', 'called', 'buffy', 'the', 'vampire', 'slayer', 'your', 'post', 'is', 'similar', 'to', 'that', 'one', 'because', 'it', 'shows', 'that', 'playing', 'with', 'data', 'can', 'be', 'fun', 'and', 'cool']"
67,"Complementing, expressing appreciation",great work! and nice use of motion graphics!,"['great', 'work', 'and', 'nice', 'use', 'of', 'motion', 'graphics']"
69,"Complementing, expressing appreciation","also very cool to see the correlations between the amount of """"freedoms"""" people have and the happiness level ","['also', 'very', 'cool', 'to', 'see', 'the', 'correlations', 'between', 'the', 'amount', 'of', 'freedoms', 'people', 'have', 'and', 'the', 'happiness', 'level']"
70,Vocatives (addressing individual),"hi vlad,what a great work you did ","['hi', 'vlad', 'what', 'a', 'great', 'work', 'you', 'did']"
71,Personal advice,"my suggestion for the first chart would be the line chart, which allows for a better comparison across continents over the years  in the second chart i think the information could be complemented using a map  so it looks visually beautiful, the information gets highlighted and the data does not get stuck to the table ","['my', 'suggestion', 'for', 'the', 'first', 'chart', 'would', 'be', 'the', 'line', 'chart', 'which', 'allows', 'for', 'a', 'better', 'comparison', 'across', 'continents', 'over', 'the', 'years', 'in', 'the', 'second', 'chart', 'i', 'think', 'the', 'information', 'could', 'be', 'complemented', 'using', 'a', 'map', 'so', 'it', 'looks', 'visually', 'beautiful', 'the', 'information', 'gets', 'highlighted', 'and', 'the', 'data', 'does', 'not', 'get', 'stuck', 'to', 'the', 'table']"
74,"Complementing, expressing appreciation","hi valentina,i really like your use of the borough icons as filters in your dashboards!","['hi', 'valentina', 'i', 'really', 'like', 'your', 'use', 'of', 'the', 'borough', 'icons', 'as', 'filters', 'in', 'your', 'dashboards']"
77,Personal advice,"first, you need a decompressor (i have izip)  then you still have the tsv file  then you can choose to transform it through r","['first', 'you', 'need', 'a', 'decompressor', 'i', 'have', 'izip', 'then', 'you', 'still', 'have', 'the', 'tsv', 'file', 'then', 'you', 'can', 'choose', 'to', 'transform', 'it', 'through', 'r']"
82,Asking questions,"however, i don t understand where the focus on singapore in this graph comes from?","['however', 'i', 'don', 't', 'understand', 'where', 'the', 'focus', 'on', 'singapore', 'in', 'this', 'graph', 'comes', 'from']"
86,Personal advice,i would perhaps recommend to space out the charts vertically as i am getting things a little mixed up,"['i', 'would', 'perhaps', 'recommend', 'to', 'space', 'out', 'the', 'charts', 'vertically', 'as', 'i', 'am', 'getting', 'things', 'a', 'little', 'mixed', 'up']"
88,Vocatives (addressing individual),"hi mike,","['hi', 'mike']"
92,Vocatives (addressing individual),"hello, jan  thank you for your expert view!","['hello', 'jan', 'thank', 'you', 'for', 'your', 'expert', 'view']"
93,"Complementing, expressing appreciation","you are well on your wayto create amazing data viz! i am sure, excellent! and inspiring","['you', 'are', 'well', 'on', 'your', 'wayto', 'create', 'amazing', 'data', 'viz', 'i', 'am', 'sure', 'excellent', 'and', 'inspiring']"
94,"Complementing, expressing appreciation","hi daniel,thanks for responding to my entry and for the feedback!","['hi', 'daniel', 'thanks', 'for', 'responding', 'to', 'my', 'entry', 'and', 'for', 'the', 'feedback']"
95,Personal advice,the one thing i would change is to add a note to the chapter 3 heat map telling the reader that a low overall score is the most desirable ,"['the', 'one', 'thing', 'i', 'would', 'change', 'is', 'to', 'add', 'a', 'note', 'to', 'the', 'chapter', '3', 'heat', 'map', 'telling', 'the', 'reader', 'that', 'a', 'low', 'overall', 'score', 'is', 'the', 'most', 'desirable']"
97,Asking questions,can an ecological situation impact to cancer disease?,"['can', 'an', 'ecological', 'situation', 'impact', 'to', 'cancer', 'disease']"
98,Negative Activating,i think there are too many categories,"['i', 'think', 'there', 'are', 'too', 'many', 'categories']"
100,Asking questions,"maybe that is a lot to ask for this course, but maybe something work looking into if you want to work with this data further?","['maybe', 'that', 'is', 'a', 'lot', 'to', 'ask', 'for', 'this', 'course', 'but', 'maybe', 'something', 'work', 'looking', 'into', 'if', 'you', 'want', 'to', 'work', 'with', 'this', 'data', 'further']"
102,Personal advice,i think if you used another color for the western hemisphere and western europe it would be more appealing ,"['i', 'think', 'if', 'you', 'used', 'another', 'color', 'for', 'the', 'western', 'hemisphere', 'and', 'western', 'europe', 'it', 'would', 'be', 'more', 'appealing']"
103,Vocatives (addressing individual),hello julie i see that we use data of the same nature,"['hello', 'julie', 'i', 'see', 'that', 'we', 'use', 'data', 'of', 'the', 'same', 'nature']"
104,Vocatives (addressing individual),"that s what i was wondering as well, stephan ","['that', 's', 'what', 'i', 'was', 'wondering', 'as', 'well', 'stephan']"
105,Negative Activating,it all seems to go very fast and you have to pause to really absorb ,"['it', 'all', 'seems', 'to', 'go', 'very', 'fast', 'and', 'you', 'have', 'to', 'pause', 'to', 'really', 'absorb']"
106,"Complementing, expressing appreciation",i really enjoyed the descriptive annotation that was before each visual ,"['i', 'really', 'enjoyed', 'the', 'descriptive', 'annotation', 'that', 'was', 'before', 'each', 'visual']"
108,Vocatives (addressing individual),"hi, dave! thank you for your comment ","['hi', 'dave', 'thank', 'you', 'for', 'your', 'comment']"
109,"Complementing, expressing appreciation","thank you, mr  arias ","['thank', 'you', 'mr', 'arias']"
111,Asking questions,"was this the lite version of flourish, or was this the downloaded version?","['was', 'this', 'the', 'lite', 'version', 'of', 'flourish', 'or', 'was', 'this', 'the', 'downloaded', 'version']"
112,Vocatives (addressing individual),hi katica,"['hi', 'katica']"
113,"Complementing, expressing appreciation",i ve never seen the data visualized like this so thoroughly ,"['i', 've', 'never', 'seen', 'the', 'data', 'visualized', 'like', 'this', 'so', 'thoroughly']"
114,Asking questions,is this still the case?,"['is', 'this', 'still', 'the', 'case']"
115,"Complementing, expressing appreciation",amazing  great work!,"['amazing', 'great', 'work']"
116,Asking questions,did you try to arrange them in a different way?,"['did', 'you', 'try', 'to', 'arrange', 'them', 'in', 'a', 'different', 'way']"
117,Asking questions,does that make it more difficult to get a view of the country as a whole?,"['does', 'that', 'make', 'it', 'more', 'difficult', 'to', 'get', 'a', 'view', 'of', 'the', 'country', 'as', 'a', 'whole']"
118,Asking questions,or it comes from your knowledge ?,"['or', 'it', 'comes', 'from', 'your', 'knowledge']"
120,Vocatives (addressing individual),hello felix !!,"['hello', 'felix']"
122,"Complementing, expressing appreciation",this is fascinating and so well displayed ,"['this', 'is', 'fascinating', 'and', 'so', 'well', 'displayed']"
123,Personal advice,"i think it s really good to start with raw numbers, but i would like to see this data as a percent of cats available at that age ","['i', 'think', 'it', 's', 'really', 'good', 'to', 'start', 'with', 'raw', 'numbers', 'but', 'i', 'would', 'like', 'to', 'see', 'this', 'data', 'as', 'a', 'percent', 'of', 'cats', 'available', 'at', 'that', 'age']"
124,Personal advice,i think you could have improved your graphic,"['i', 'think', 'you', 'could', 'have', 'improved', 'your', 'graphic']"
125,"Complementing, expressing appreciation",i love everything about this ,"['i', 'love', 'everything', 'about', 'this']"
126,Vocatives (addressing individual),excellent work ,"['excellent', 'work']"
131,Asking questions,are these data perhaps influenced by a growing use of airbnb by americans?,"['are', 'these', 'data', 'perhaps', 'influenced', 'by', 'a', 'growing', 'use', 'of', 'airbnb', 'by', 'americans']"
133,Negative Activating,the only thing i was wondering about is slide no  4 ,"['the', 'only', 'thing', 'i', 'was', 'wondering', 'about', 'is', 'slide', 'no', '4']"
135,Asking questions,why did you highlight the specific nations that you selected?,"['why', 'did', 'you', 'highlight', 'the', 'specific', 'nations', 'that', 'you', 'selected']"
137,Vocatives (addressing individual),"wow, takura  this was such an interesting visualization and story to see and read ","['wow', 'takura', 'this', 'was', 'such', 'an', 'interesting', 'visualization', 'and', 'story', 'to', 'see', 'and', 'read']"
139,"Complementing, expressing appreciation",great job hideki nakane ,"['great', 'job', 'hideki', 'nakane']"
141,Vocatives (addressing individual),"hey julian,great effort and full points for choosing such an interesting subject ","['hey', 'julian', 'great', 'effort', 'and', 'full', 'points', 'for', 'choosing', 'such', 'an', 'interesting', 'subject']"
144,Personal advice,another possibility if the data is available would be to look by country ,"['another', 'possibility', 'if', 'the', 'data', 'is', 'available', 'would', 'be', 'to', 'look', 'by', 'country']"
145,Vocatives (addressing individual),thank you russ for your graphs and analysis ,"['thank', 'you', 'russ', 'for', 'your', 'graphs', 'and', 'analysis']"
146,Asking questions,wouldn t this then allow to judge a state s ability to turn overall business growth into income growth of its citizens?,"['wouldn', 't', 'this', 'then', 'allow', 'to', 'judge', 'a', 'state', 's', 'ability', 'to', 'turn', 'overall', 'business', 'growth', 'into', 'income', 'growth', 'of', 'its', 'citizens']"
147,Personal advice,"adding a human sense to the story would be good, so maybe add side bar stories on significant stories","['adding', 'a', 'human', 'sense', 'to', 'the', 'story', 'would', 'be', 'good', 'so', 'maybe', 'add', 'side', 'bar', 'stories', 'on', 'significant', 'stories']"
148,Vocatives (addressing individual),thank you miss oyinak oni ,"['thank', 'you', 'miss', 'oyinak', 'oni']"
150,Vocatives (addressing individual),thank you katica,"['thank', 'you', 'katica']"
151,Vocatives (addressing individual),"mark, thanks for the suggestion!","['mark', 'thanks', 'for', 'the', 'suggestion']"
153,Asking questions,has its consumption been always the same?,"['has', 'its', 'consumption', 'been', 'always', 'the', 'same']"
154,Negative Activating,trying to get data into the right format will always be a challenge ,"['trying', 'to', 'get', 'data', 'into', 'the', 'right', 'format', 'will', 'always', 'be', 'a', 'challenge']"
155,"Complementing, expressing appreciation",i also love you have the data by week,"['i', 'also', 'love', 'you', 'have', 'the', 'data', 'by', 'week']"
156,"Complementing, expressing appreciation","charlotte,thank you for posting all of the different ways that you played with the data to then look for associations ","['charlotte', 'thank', 'you', 'for', 'posting', 'all', 'of', 'the', 'different', 'ways', 'that', 'you', 'played', 'with', 'the', 'data', 'to', 'then', 'look', 'for', 'associations']"
157,"Complementing, expressing appreciation",i like the fact that you have explored all kind of templates !,"['i', 'like', 'the', 'fact', 'that', 'you', 'have', 'explored', 'all', 'kind', 'of', 'templates']"
158,"Complementing, expressing appreciation",thanks diana,"['thanks', 'diana']"
159,Vocatives (addressing individual),thanks dave,"['thanks', 'dave']"
161,Asking questions,could you make a screen dump of the data tab in flourish?,"['could', 'you', 'make', 'a', 'screen', 'dump', 'of', 'the', 'data', 'tab', 'in', 'flourish']"
162,Vocatives (addressing individual),"hank you, mr  arias ","['hank', 'you', 'mr', 'arias']"
163,Personal advice,"those dynamics may be hard to measure, but the mass northward migration would be interesting to track over a similar time frame ","['those', 'dynamics', 'may', 'be', 'hard', 'to', 'measure', 'but', 'the', 'mass', 'northward', 'migration', 'would', 'be', 'interesting', 'to', 'track', 'over', 'a', 'similar', 'time', 'frame']"
164,Negative Activating,i can sympathize with the inconsistency in data sources ,"['i', 'can', 'sympathize', 'with', 'the', 'inconsistency', 'in', 'data', 'sources']"
166,Vocatives (addressing individual),"dear russ,so important topic!","['dear', 'russ', 'so', 'important', 'topic']"
167,Asking questions,why you are seeing these patterns?,"['why', 'you', 'are', 'seeing', 'these', 'patterns']"
168,"Complementing, expressing appreciation",thank you for your advice!my tools are python(pandas) for data preprocessing and analyze ,"['thank', 'you', 'for', 'your', 'advice', 'my', 'tools', 'are', 'python', 'pandas', 'for', 'data', 'preprocessing', 'and', 'analyze']"
169,Personal advice,"also, i understand you want to cut down on excess information but i would appreciate a quick color chart in one of the bottom corners that i can glance at while i am reading your graphs ","['also', 'i', 'understand', 'you', 'want', 'to', 'cut', 'down', 'on', 'excess', 'information', 'but', 'i', 'would', 'appreciate', 'a', 'quick', 'color', 'chart', 'in', 'one', 'of', 'the', 'bottom', 'corners', 'that', 'i', 'can', 'glance', 'at', 'while', 'i', 'am', 'reading', 'your', 'graphs']"
171,"Complementing, expressing appreciation","hello, lyn  thank you for you comment!","['hello', 'lyn', 'thank', 'you', 'for', 'you', 'comment']"
172,Negative Activating,just couldn t get flourish to work for just one state s counties ,"['just', 'couldn', 't', 'get', 'flourish', 'to', 'work', 'for', 'just', 'one', 'state', 's', 'counties']"
173,Asking questions,does this only include military personnel in uniform or does it take other combatants into account as well (asymmetrical warfare including insurgents etc?),"['does', 'this', 'only', 'include', 'military', 'personnel', 'in', 'uniform', 'or', 'does', 'it', 'take', 'other', 'combatants', 'into', 'account', 'as', 'well', 'asymmetrical', 'warfare', 'including', 'insurgents', 'etc']"
174,"Complementing, expressing appreciation",thanks sylvie,"['thanks', 'sylvie']"
175,Personal advice,though one suggestion to improve chloropleth maps  if you want to compare them keep the same value bins for each color ,"['though', 'one', 'suggestion', 'to', 'improve', 'chloropleth', 'maps', 'if', 'you', 'want', 'to', 'compare', 'them', 'keep', 'the', 'same', 'value', 'bins', 'for', 'each', 'color']"
176,Vocatives (addressing individual),"hi ruth,what a really nice work, congrats ","['hi', 'ruth', 'what', 'a', 'really', 'nice', 'work', 'congrats']"
177,"Complementing, expressing appreciation",well done !,"['well', 'done']"
179,"Complementing, expressing appreciation","hi felix,this is great work! thank you for sharing it ","['hi', 'felix', 'this', 'is', 'great', 'work', 'thank', 'you', 'for', 'sharing', 'it']"
181,Personal advice,i believe you could develop such a narrative a bit further,"['i', 'believe', 'you', 'could', 'develop', 'such', 'a', 'narrative', 'a', 'bit', 'further']"
182,Personal advice,it would be nice to combine for example climate,"['it', 'would', 'be', 'nice', 'to', 'combine', 'for', 'example', 'climate']"
183,"Complementing, expressing appreciation",your visualizations provide an excellent overview and presentation of the subject material ,"['your', 'visualizations', 'provide', 'an', 'excellent', 'overview', 'and', 'presentation', 'of', 'the', 'subject', 'material']"
185,"Complementing, expressing appreciation",wow this is a lot of hard work  very insightful  ,"['wow', 'this', 'is', 'a', 'lot', 'of', 'hard', 'work', 'very', 'insightful']"
187,Vocatives (addressing individual),hello katika!,"['hello', 'katika']"
191,Vocatives (addressing individual),"jorge,wonderful work!","['jorge', 'wonderful', 'work']"
193,Negative Activating,"i have a question, though, i haven t seen any statistics about budget ","['i', 'have', 'a', 'question', 'though', 'i', 'haven', 't', 'seen', 'any', 'statistics', 'about', 'budget']"
195,Asking questions,this could be an interesting matter to debate  is always necessary a graph to explain expose data?,"['this', 'could', 'be', 'an', 'interesting', 'matter', 'to', 'debate', 'is', 'always', 'necessary', 'a', 'graph', 'to', 'explain', 'expose', 'data']"
196,Vocatives (addressing individual),hi diego,"['hi', 'diego']"
197,"Complementing, expressing appreciation",you put together a nice set of visualizations ,"['you', 'put', 'together', 'a', 'nice', 'set', 'of', 'visualizations']"
201,Personal advice,i think it would be better to leave each country in the same position on the x axis,"['i', 'think', 'it', 'would', 'be', 'better', 'to', 'leave', 'each', 'country', 'in', 'the', 'same', 'position', 'on', 'the', 'x', 'axis']"
204,"Complementing, expressing appreciation",thanks for sharing this ,"['thanks', 'for', 'sharing', 'this']"
205,Personal advice,it would be interesting to view by both sales and acclaim to see if there s any correlation ,"['it', 'would', 'be', 'interesting', 'to', 'view', 'by', 'both', 'sales', 'and', 'acclaim', 'to', 'see', 'if', 'there', 's', 'any', 'correlation']"
207,Personal advice,that is the only minor suggestion i have for improving your charts ,"['that', 'is', 'the', 'only', 'minor', 'suggestion', 'i', 'have', 'for', 'improving', 'your', 'charts']"
208,"Complementing, expressing appreciation",nicely done  i liked it you made a guess about the factors which impact happiness ,"['nicely', 'done', 'i', 'liked', 'it', 'you', 'made', 'a', 'guess', 'about', 'the', 'factors', 'which', 'impact', 'happiness']"
210,Asking questions,"could i ask you what you mean by """"space out the charts vertically""""? do you mean to add more space between the charts for the different subjects?","['could', 'i', 'ask', 'you', 'what', 'you', 'mean', 'by', 'space', 'out', 'the', 'charts', 'vertically', 'do', 'you', 'mean', 'to', 'add', 'more', 'space', 'between', 'the', 'charts', 'for', 'the', 'different', 'subjects']"
212,Asking questions,would that be too much?,"['would', 'that', 'be', 'too', 'much']"
214,"Complementing, expressing appreciation",nice work!,"['nice', 'work']"
215,"Complementing, expressing appreciation",great job!an interesting aspect to analyze is what s the story with paraguay (i believe is paraguay the country painted with a softer blue in south america)   ,"['great', 'job', 'an', 'interesting', 'aspect', 'to', 'analyze', 'is', 'what', 's', 'the', 'story', 'with', 'paraguay', 'i', 'believe', 'is', 'paraguay', 'the', 'country', 'painted', 'with', 'a', 'softer', 'blue', 'in', 'south', 'america']"
216,"Complementing, expressing appreciation","ciao maria, thanks for your comment ","['ciao', 'maria', 'thanks', 'for', 'your', 'comment']"
218,Negative Activating,"for some reason, it struck me because 2018 started having more than usual","['for', 'some', 'reason', 'it', 'struck', 'me', 'because', '2018', 'started', 'having', 'more', 'than', 'usual']"
220,Asking questions,have you come up with some questions that you want to explore more and try and focus or refine?,"['have', 'you', 'come', 'up', 'with', 'some', 'questions', 'that', 'you', 'want', 'to', 'explore', 'more', 'and', 'try', 'and', 'focus', 'or', 'refine']"
222,Vocatives (addressing individual),"thank you for the suggestion, tamara!","['thank', 'you', 'for', 'the', 'suggestion', 'tamara']"
223,Personal advice,"hi claudia,if you go to you ll find a spot where you can download the dataset in csv, excel, or xml ","['hi', 'claudia', 'if', 'you', 'go', 'to', 'you', 'll', 'find', 'a', 'spot', 'where', 'you', 'can', 'download', 'the', 'dataset', 'in', 'csv', 'excel', 'or', 'xml']"
224,Negative Activating,i didn t understand how that fit exactly into the narrative,"['i', 'didn', 't', 'understand', 'how', 'that', 'fit', 'exactly', 'into', 'the', 'narrative']"
226,Asking questions,which would work better to convey the erratic nature of the voting for parliament?,"['which', 'would', 'work', 'better', 'to', 'convey', 'the', 'erratic', 'nature', 'of', 'the', 'voting', 'for', 'parliament']"
227,"Complementing, expressing appreciation",it is a great way to compare the values ,"['it', 'is', 'a', 'great', 'way', 'to', 'compare', 'the', 'values']"
228,Personal advice,"more beautiful, i think, when a simple graph, such as a curve, you can get important conclusions such as life expectancy or the treatment of a disease ","['more', 'beautiful', 'i', 'think', 'when', 'a', 'simple', 'graph', 'such', 'as', 'a', 'curve', 'you', 'can', 'get', 'important', 'conclusions', 'such', 'as', 'life', 'expectancy', 'or', 'the', 'treatment', 'of', 'a', 'disease']"
230,"Complementing, expressing appreciation","i am particularly impressed with your """"binning"""" the political parties into your side mnemonic, which greatly simplifies the understanding of the situation ","['i', 'am', 'particularly', 'impressed', 'with', 'your', 'binning', 'the', 'political', 'parties', 'into', 'your', 'side', 'mnemonic', 'which', 'greatly', 'simplifies', 'the', 'understanding', 'of', 'the', 'situation']"
231,"Complementing, expressing appreciation","joseph,i love that you used lat and long values in the data to make quick maps ","['joseph', 'i', 'love', 'that', 'you', 'used', 'lat', 'and', 'long', 'values', 'in', 'the', 'data', 'to', 'make', 'quick', 'maps']"
232,Personal advice,that would be a great story to tell ,"['that', 'would', 'be', 'a', 'great', 'story', 'to', 'tell']"
233,Asking questions,did you actually follow this link?,"['did', 'you', 'actually', 'follow', 'this', 'link']"
234,Personal advice,one thing i would suggest ,"['one', 'thing', 'i', 'would', 'suggest']"
235,Negative Activating,i had some difficulty understanding the colours on the right hand side,"['i', 'had', 'some', 'difficulty', 'understanding', 'the', 'colours', 'on', 'the', 'right', 'hand', 'side']"
237,Negative Activating,i wonder what the data tells us about the income gap ,"['i', 'wonder', 'what', 'the', 'data', 'tells', 'us', 'about', 'the', 'income', 'gap']"
238,Personal advice,some totals for all of europe would also be nice as reference,"['some', 'totals', 'for', 'all', 'of', 'europe', 'would', 'also', 'be', 'nice', 'as', 'reference']"
